
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /login 200 in 55ms (next.js: 6ms, proxy.ts: 6ms, application-code: 43ms)
 GET /login 200 in 78ms (next.js: 7ms, proxy.ts: 5ms, application-code: 65ms)
 GET /login 200 in 59ms (next.js: 7ms, proxy.ts: 5ms, application-code: 47ms)
 GET /login 200 in 43ms (next.js: 7ms, proxy.ts: 4ms, application-code: 33ms)
 GET /login 200 in 49ms (next.js: 8ms, proxy.ts: 4ms, application-code: 37ms)
✓ Compiled in 242ms
 GET /login 200 in 63ms (next.js: 10ms, proxy.ts: 7ms, application-code: 46ms)
 GET /login 200 in 63ms (next.js: 8ms, proxy.ts: 3ms, application-code: 53ms)
 GET /register 200 in 827ms (next.js: 795ms, proxy.ts: 4ms, application-code: 28ms)
 GET /login 200 in 27ms (next.js: 6ms, proxy.ts: 6ms, application-code: 16ms)
✓ Compiled in 229ms
 GET /login 200 in 68ms (next.js: 9ms, proxy.ts: 7ms, application-code: 52ms)
 GET /login 200 in 84ms (next.js: 12ms, proxy.ts: 7ms, application-code: 65ms)
 GET /login 200 in 82ms (next.js: 10ms, proxy.ts: 6ms, application-code: 66ms)
 GET /dashboard 200 in 98ms (next.js: 38ms, proxy.ts: 11ms, application-code: 49ms)
 GET /dashboard 200 in 67ms (next.js: 12ms, proxy.ts: 9ms, application-code: 46ms)
 GET /attendance 200 in 209ms (next.js: 36ms, proxy.ts: 8ms, application-code: 165ms)
 GET /dashboard 200 in 57ms (next.js: 10ms, proxy.ts: 6ms, application-code: 40ms)
 GET /dashboard 200 in 130ms (next.js: 9ms, proxy.ts: 6ms, application-code: 115ms)
 GET /login 200 in 36ms (next.js: 8ms, proxy.ts: 6ms, application-code: 22ms)
 GET /login 200 in 49ms (next.js: 8ms, proxy.ts: 7ms, application-code: 35ms)
 GET /check-in 200 in 146ms (next.js: 88ms, proxy.ts: 13ms, application-code: 46ms)
 GET /check-in 200 in 88ms (next.js: 32ms, proxy.ts: 17ms, application-code: 39ms)
 GET /login 200 in 76ms (next.js: 10ms, proxy.ts: 6ms, application-code: 61ms)
 GET /login 200 in 81ms (next.js: 39ms, proxy.ts: 6ms, application-code: 36ms)
 GET /dashboard 200 in 34ms (next.js: 7ms, proxy.ts: 4ms, application-code: 23ms)
 GET /dashboard 200 in 38ms (next.js: 5ms, proxy.ts: 6ms, application-code: 27ms)
 GET /leave-requests 200 in 201ms (next.js: 133ms, proxy.ts: 6ms, application-code: 62ms)
 GET /login 200 in 34ms (next.js: 3ms, proxy.ts: 3ms, application-code: 28ms)
 GET /login 200 in 109ms (next.js: 14ms, proxy.ts: 13ms, application-code: 82ms)
 GET /login 200 in 114ms (next.js: 43ms, proxy.ts: 14ms, application-code: 57ms)
 GET /check-in 200 in 113ms (next.js: 18ms, proxy.ts: 11ms, application-code: 84ms)
 GET /check-in 200 in 115ms (next.js: 60ms, proxy.ts: 10ms, application-code: 46ms)
 GET /login 200 in 64ms (next.js: 7ms, proxy.ts: 6ms, application-code: 51ms)
 GET /check-in 200 in 183ms (next.js: 9ms, proxy.ts: 7ms, application-code: 166ms)
 GET /check-in 200 in 118ms (next.js: 14ms, proxy.ts: 8ms, application-code: 96ms)
 GET /check-in 200 in 106ms (next.js: 13ms, proxy.ts: 6ms, application-code: 87ms)
 GET /check-in 200 in 94ms (next.js: 11ms, proxy.ts: 7ms, application-code: 76ms)
 GET /check-in 200 in 74ms (next.js: 10ms, proxy.ts: 6ms, application-code: 58ms)
 GET /check-in 200 in 94ms (next.js: 11ms, proxy.ts: 10ms, application-code: 73ms)
✓ Compiled in 180ms
